,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9
,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3,P0,SC0,SC1,SC2,C0,C1,C2,C3
P0,,0.0,0.0,0.0,0.09914559158637093,0.09914559158637093,0.09914559158637093,0.09914559158637093,,0.0,0.0,0.0,0.158971789848696,0.158971789848696,0.158971789848696,0.158971789848696,,0.030342736717101335,0.030342736717101335,0.030342736717101335,0.19507197283469413,0.19507197283469413,0.19507197283469413,0.19507197283469413,,0.05179005313542125,0.05179005313542125,0.05179005313542125,0.2078304140801006,0.2078304140801006,0.2078304140801006,0.2078304140801006,,0.05179005313542125,0.05179005313542125,0.05179005313542125,0.10868482249372968,0.10868482249372968,0.10868482249372968,0.10868482249372968,,0.05179005313542125,0.05179005313542125,0.05179005313542125,0.048858624231404614,0.048858624231404614,0.048858624231404614,0.048858624231404614,,0.021447316418319918,0.021447316418319918,0.021447316418319918,0.012758441245406487,0.012758441245406487,0.012758441245406487,0.012758441245406487,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SC0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0018964210448188335,0.0018964210448188335,0.0018964210448188335,0.0018964210448188335,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.00552554611951824,0.00552554611951824,0.00552554611951824,0.00552554611951824,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
SC1,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0018964210448188335,0.0018964210448188335,0.0018964210448188335,0.0018964210448188335,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.00552554611951824,0.00552554611951824,0.00552554611951824,0.00552554611951824,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
SC2,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0018964210448188335,0.0018964210448188335,0.0018964210448188335,0.0018964210448188335,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.007421967164337073,0.007421967164337073,0.007421967164337073,0.007421967164337073,,,,,0.00552554611951824,0.00552554611951824,0.00552554611951824,0.00552554611951824,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0
C0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
