,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,P0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,SC0,C0,C0,C1,C1,C2,C2,C3,C3,C4,C4,C5,C5,C6,C6,C7,C7,C8,C8,C9,C9
,flow C0,flow C1,flow C2,flow C3,flow C4,flow C5,flow C6,flow C7,flow C8,flow C9,flow SC0,foodwaste,input flow,flow 1,flow 2,flow 3,flow 4,flow 5,flow 6,flow 7,flow 8,flow 9,flow 10,foodwaste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste,self consumption,food waste
0,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895,0.0,1.0794851233683895
1,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694,2.3637852103429964,1.1178396885989694
2,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163,2.358951037832333,1.146437526108163
3,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617,2.35562176703421,1.164581846545617
4,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684,2.3539634505999385,1.171663885438684
5,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245,2.3541489487881475,1.1672180806550245
6,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836,2.3563383102911635,1.1509691589429836
7,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326,2.3606572936949095,1.1228577422536326
8,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,3.3410058671856486,0.0,2.0899413281435106,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082,2.3671773083477237,1.0830308177223082
